time,sym,price,volume
2017-04-20 15:04:50.840359,APPL,,0
2017-04-20 15:05:08.785841,APPL,,0
2017-04-20 15:05:53.955388,APPL,,0
2017-04-20 15:06:11.633166,APPL,,0
2017-04-20 15:06:57.087076,APPL,,0
2017-04-20 15:07:15.798099,APPL,,0
2017-04-20 15:08:00.350183,APPL,,0
2017-04-20 15:08:19.200890,APPL,,0
2017-04-20 15:09:03.151868,APPL,,0
2017-04-20 15:09:21.875857,APPL,,0
2017-04-20 15:10:05.951370,APPL,,0
2017-04-20 15:10:25.503683,APPL,,0
2017-04-20 15:11:08.798671,APPL,,0
2017-04-20 15:11:28.208798,APPL,,0
2017-04-20 15:12:11.692831,APPL,,0
2017-04-20 15:12:30.979418,APPL,,0
2017-04-20 15:13:14.544020,APPL,,0
2017-04-20 15:13:33.785037,APPL,,0
2017-04-20 15:14:17.524324,APPL,,0
2017-04-20 15:14:36.600109,APPL,,0
2017-04-20 15:15:20.394332,APPL,,0
2017-04-20 15:15:40.357261,APPL,,0
2017-04-20 15:16:23.151431,APPL,,0
2017-04-20 15:16:43.052804,APPL,,0
2017-04-20 15:17:25.953562,APPL,,0
2017-04-20 15:17:45.715017,APPL,,0
2017-04-20 15:18:29.325824,APPL,,0
2017-04-20 15:18:48.605870,APPL,,0
2017-04-20 15:19:33.079032,APPL,,0
2017-04-20 15:19:51.609127,APPL,,0
2017-04-20 15:20:35.801808,APPL,,0
2017-04-20 15:20:54.955538,APPL,,0
2017-04-20 15:21:38.548607,APPL,,0
2017-04-20 15:21:57.725347,APPL,,0
2017-04-20 15:22:41.179289,APPL,,0
2017-04-20 15:23:00.570081,APPL,,0
2017-04-20 15:23:47.521214,APPL,,0
2017-04-20 15:24:03.597284,APPL,,0
2017-04-20 15:24:51.549335,APPL,,0
2017-04-20 15:25:06.724787,APPL,,0
2017-04-20 15:25:54.034451,APPL,,0
2017-04-20 15:26:09.257669,APPL,,0
2017-04-20 15:27:09.905682,APPL,,0
2017-04-20 15:27:11.736002,APPL,,0
2017-04-20 15:28:12.649781,APPL,,0
2017-04-20 15:28:14.345942,APPL,,0
2017-04-20 15:29:17.275584,APPL,,0
2017-04-20 15:29:17.642532,APPL,,0
2017-04-20 15:30:21.024372,APPL,,0
2017-04-20 15:30:21.424336,APPL,,0
2017-04-20 15:31:24.064637,APPL,,0
2017-04-20 15:31:28.983927,APPL,,0
2017-04-20 15:32:31.721640,APPL,,0
2017-04-20 15:32:32.027726,APPL,,0
2017-04-20 15:33:34.820341,APPL,,0
2017-04-20 15:33:35.091512,APPL,,0
2017-04-20 15:34:37.533981,APPL,,0
2017-04-20 15:34:38.427714,APPL,,0
2017-04-20 15:35:42.737855,APPL,,0
2017-04-20 15:36:45.678158,APPL,,0
2017-04-20 15:37:13.686539,APPL,,0
2017-04-20 15:37:48.131733,APPL,,0
2017-04-20 15:38:16.452593,APPL,,0
2017-04-20 15:38:52.330460,APPL,,0
2017-04-20 15:39:19.062712,APPL,,0
2017-04-20 15:39:55.015028,APPL,,0
2017-04-20 15:40:21.774692,APPL,,0
2017-04-20 15:40:57.699649,APPL,,0
2017-04-20 15:41:26.385719,APPL,,0
2017-04-20 15:42:00.454629,APPL,,0
2017-04-20 15:42:29.032175,APPL,,0
2017-04-20 15:43:02.996093,APPL,,0
2017-04-20 15:43:32.176783,APPL,,0
2017-04-20 15:44:05.472064,APPL,,0
2017-04-20 15:44:34.989219,APPL,,0
2017-04-20 15:45:08.213433,APPL,,0
2017-04-20 15:45:37.937658,APPL,,0
2017-04-20 15:46:11.163258,APPL,,0
2017-04-20 15:46:40.804459,APPL,,0
2017-04-20 15:47:14.792850,APPL,,0
2017-04-20 15:47:49.864368,APPL,,0
2017-04-20 15:48:17.850893,APPL,,0
2017-04-20 15:48:55.758316,APPL,,0
2017-04-20 15:49:20.756742,APPL,,0
2017-04-20 15:50:01.202291,APPL,,0
2017-04-20 15:50:23.947743,APPL,,0
2017-04-20 15:51:04.676734,APPL,,0
2017-04-20 15:51:26.565062,APPL,,0
2017-04-20 15:52:07.394021,APPL,,0
2017-04-20 15:52:36.084069,APPL,,0
2017-04-20 15:53:22.673999,APPL,,0
2017-04-20 15:53:39.206990,APPL,,0
2017-04-20 15:54:25.406543,APPL,,0
2017-04-20 15:54:41.951194,APPL,,0
2017-04-20 15:55:28.296349,APPL,,0
2017-04-20 15:55:44.661815,APPL,,0
2017-04-20 15:56:31.071166,APPL,,0
2017-04-20 15:56:47.487910,APPL,,0
2017-04-20 15:57:33.571700,APPL,,0
2017-04-20 15:57:50.785849,APPL,,0
2017-04-20 15:58:36.232079,APPL,,0
2017-04-20 15:59:09.450190,APPL,,0
2017-04-20 15:59:39.055794,APPL,,0
2017-04-20 16:00:12.728228,APPL,,0
2017-04-20 16:00:43.926928,APPL,,0
2017-04-20 16:01:16.254461,APPL,,0
2017-04-20 16:01:46.719806,APPL,,0
2017-04-20 16:02:19.532151,APPL,,0
2017-04-20 16:02:49.611519,APPL,,0
2017-04-20 16:03:22.560868,APPL,,0
2017-04-20 16:03:52.497107,APPL,,0
2017-04-20 16:04:25.485589,APPL,,0
2017-04-20 16:04:55.512999,APPL,,0
2017-04-20 16:05:28.552711,APPL,,0
2017-04-20 16:05:58.757380,APPL,,0
2017-04-20 16:06:31.733344,APPL,,0
2017-04-20 16:07:01.623887,APPL,,0
2017-04-20 16:07:34.518425,APPL,,0
2017-04-20 16:08:06.089905,APPL,,0
2017-04-20 16:08:37.524699,APPL,,0
2017-04-20 16:09:08.738861,APPL,,0
2017-04-20 16:09:40.762195,APPL,,0
2017-04-20 16:10:11.784122,APPL,,0
2017-04-20 16:10:43.842135,APPL,,0
2017-04-20 16:11:14.704035,APPL,,0
2017-04-20 16:11:52.989927,APPL,,0
2017-04-20 16:12:18.460041,APPL,,0
2017-04-20 16:12:55.793761,APPL,,0
